Month,Oil,Gas
1,29302.00,21906.00
2,34040.00,26487.00
3,31998.00,25625.00
4,24946.00,23280.00
5,20762.00,22336.00
6,17568.00,19610.00
7,16249.00,17005.00
8,2261.00,2302.00
9,857.00,954.00
10,7555.00,8467.00
11,9571.00,11575.00
12,9831.00,17091.00
13,8600.00,15267.00
14,8316.00,14087.00
15,7632.00,12382.00
16,6946.00,11436.00
17,6450.00,11247.00
18,5595.00,10351.00
19,7459.00,15100.00
20,7520.00,18974.00
21,5199.00,9279.00
22,7528.00,9856.00
23,6201.00,9138.00
24,6078.00,9031.00
25,4780.00,8340.00
26,6116.00,8200.00
27,5466.00,10789.00
