Month,Oil,Gas,Water
0,10133.00,7273.00,8274.00
1,15387.00,31654.00,12626.00
2,12276.00,30031.00,9698.00
3,10545.00,25635.00,8352.00
4,9974.00,23262.00,7929.00
5,9297.00,20620.00,7422.00
6,7921.00,16714.00,6352.00
7,8343.00,16801.00,6720.00
8,7729.00,14912.00,6255.00
9,7684.00,14254.00,6248.00
10,7182.00,12853.00,5867.00
11,7191.00,12451.00,5902.00
12,6986.00,11733.00,4565.00
13,6671.00,10748.00,4280.00
14,6725.00,10554.00,4333.00
15,6360.00,9739.00,4115.00
16,6431.00,9624.00,4180.00
17,6301.00,9228.00,4114.00
18,5583.00,8011.00,3661.00
19,6070.00,8543.00,3998.00
20,5773.00,7978.00,3819.00
21,5426.00,7969.00,3899.00
22,5169.00,7466.00,3731.00
23,5261.00,7480.00,3815.00
24,5185.00,7262.00,3778.00
25,4949.00,6831.00,3622.00
26,5046.00,6869.00,3710.00
27,4821.00,6475.00,3560.00
28,4920.00,6524.00,3650.00
29,4862.00,6367.00,3622.00
30,4341.00,5617.00,3248.00
31,4753.00,6079.00,3571.00
32,4752.00,7186.00,3434.00
33,4743.00,7009.00,3526.00
34,4733.00,6464.00,3393.00
35,6141.00,6547.00,5780.00
36,6430.00,6420.00,6068.00
37,6376.00,7478.00,5986.00
38,5738.00,7593.00,5474.00
39,5041.00,6973.00,4829.00
40,5064.00,7081.00,4871.00
41,5165.00,6961.00,4990.00
42,4792.00,6404.00,4649.00
43,5082.00,6735.00,4951.00
44,4019.00,6415.00,4775.00
45,4121.00,6527.00,4917.00
46,3958.00,6221.00,4742.00
47,4060.00,6334.00,4885.00
48,4031.00,6242.00,4871.00
49,3604.00,5955.00,4699.00
50,3963.00,6068.00,4842.00
51,3809.00,5792.00,4673.00
52,3910.00,5905.00,4816.00
53,3636.00,5828.00,5080.00
54,3074.00,5196.00,4546.00
55,2420.00,5680.00,3840.00
56,2327.00,5429.00,3708.00
57,2390.00,5542.00,3823.00
58,2299.00,5299.00,3692.00
59,2362.00,5411.00,3808.00
60,2348.00,5348.00,3801.00
61,2259.00,5117.00,3672.00
62,2321.00,5228.00,3787.00
63,2234.00,5004.00,3659.00
64,2296.00,5115.00,3776.00
65,2284.00,5060.00,3771.00
66,2052.00,4522.00,3401.00
67,2394.00,4955.00,3760.00
68,2309.00,4746.00,4079.00
69,2423.00,4855.00,4192.00
70,2372.00,4652.00,3973.00
71,2503.00,4760.00,4228.00
72,2522.00,4714.00,4380.00
73,2677.00,4519.00,4708.00
74,2372.00,4626.00,4206.00
75,2259.00,4435.00,4112.00
76,372.00,1063.00,4032.00
77,22.00,184.00,4414.00
78,2030.00,4065.00,3899.00
79,2209.00,4421.00,4161.00
80,1941.00,4204.00,3786.00
81,2000.00,7683.00,3919.00
82,1805.00,4132.00,3550.00
83,1901.00,4198.00,3752.00
84,1744.00,4128.00,3462.00
85,1718.00,3929.00,3422.00
86,1736.00,3994.00,3475.00
87,1689.00,3803.00,3391.00
88,1720.00,24822.00,3468.00
89,1775.00,3868.00,3590.00
90,1592.00,3562.00,3238.00
91,1641.00,3749.00,3347.00
92,1572.00,3573.00,3215.00
93,1563.00,3637.00,3204.00
94,1437.00,3467.00,2955.00
95,1434.00,3530.00,2957.00
96,1467.00,3479.00,3033.00
97,1363.00,3318.00,2831.00
98,1293.00,3380.00,2692.00
99,1324.00,42501.00,2764.00
100,1421.00,42437.00,2977.00
101,1349.00,70803.00,2835.00
102,984.00,50404.00,2074.00
103,1369.00,71155.00,2868.00
104,1326.00,63737.00,2789.00
105,1168.00,63434.00,-
106,1212.00,52584.00,-
107,1275.00,62944.00,-
108,1224.00,46794.00,-
109,-,-,
